target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,grobHeight.zeroGrob,500,function,R/grob-null.r,21,21
ggplot2,geom_jitter,501,function,R/geom-jitter.r,32,61
ggplot2,compute_grob_dimensions,502,function,R/utilities-table.r,11,38
ggplot2,with_seed_null,503,function,R/utilities.r,424,430
ggplot2,ylim,504,function,R/limits.r,67,69
ggplot2,GeomDensity,505,GeomDensity / GeomArea / GeomRibbon / Geom / ggproto / gg,NA,NA,NA
ggplot2,find_names,506,function,R/labeller.r,171,177
ggplot2,element_text,507,function,R/theme-elements.r,110,121
ggplot2,stat_qq,508,function,R/stat-qq.r,48,71
ggplot2,map_data,509,function,R/fortify-map.r,77,81
ggplot2,keep_mid_true,510,function,R/geom-path.r,221,233
ggplot2,ggplot.function,511,function,R/plot.r,106,110
ggplot2,stat,512,function,R/aes-calculated.r,24,26
ggplot2,geom_rect,513,function,R/geom-rect.r,3,24
ggplot2,plot_dim,514,function,R/save.r,99,127
ggplot2,df_rows,515,function,R/performance.R,42,44
ggplot2,is.ggplot,516,function,R/plot.r,123,123
ggplot2,xlab,517,function,R/labels.r,82,84
ggplot2,GeomRibbon,518,GeomRibbon / Geom / ggproto / gg,NA,NA,NA
ggplot2,fortify.Polygon,519,function,R/fortify-spatial.r,69,75
ggplot2,geom_crossbar,520,function,R/geom-crossbar.r,3,24
ggplot2,ggplot_add.guides,521,function,R/plot-construction.r,117,119
ggplot2,draw_key_path,522,function,R/legend-draw.r,130,146
ggplot2,transform_value,523,function,R/coord-transform.r,156,160
ggplot2,obj_desc,524,function,R/layer.r,401,424
ggplot2,geom_vline,525,function,R/geom-vline.r,6,40
ggplot2,labelGrob,526,function,R/geom-label.R,107,121
ggplot2,scale_fill_brewer,527,function,R/scale-brewer.r,74,76
ggplot2,geom_bar,528,function,R/geom-bar.r,74,105
ggplot2,weave_tables_col,529,function,R/facet-wrap.r,476,487
ggplot2,rename,530,function,R/compat-plyr.R,41,51
ggplot2,pos_dodge,531,function,R/position-dodge.r,131,156
ggplot2,justify_grobs,532,function,R/margins.R,234,289
ggplot2,[[.ggproto,533,function,R/ggproto.r,151,158
ggplot2,summarise_coord,534,function,R/summarise-plot.R,98,116
ggplot2,guide_legend,535,function,R/guide-legend.r,124,196
ggplot2,df_col,536,function,R/performance.R,40,40
ggplot2,ggplot_add.theme,537,function,R/plot-construction.r,103,106
ggplot2,wrap_as_facets_list,538,function,R/facet-wrap.r,131,134
ggplot2,interp,539,function,R/coord-munch.r,72,75
ggplot2,StatSummary,540,StatSummary / Stat / ggproto / gg,NA,NA,NA
ggplot2,just_dir,541,function,R/geom-text.r,218,223
ggplot2,combine_vars,542,function,R/facet-.r,530,574
ggplot2,scales_add_missing,543,function,R/scales-.r,110,121
ggplot2,new_aesthetic,544,function,R/aes.r,85,99
ggplot2,eval_facet,545,function,R/facet-.r,424,437
ggplot2,rel,546,function,R/theme-elements.r,131,133
ggplot2,guide_merge,547,function,R/guides-.r,319,319
ggplot2,.element_tree,548,list,NA,NA,NA
ggplot2,scale_discrete_identity,549,function,R/scale-identity.r,118,123
ggplot2,scale_y_sqrt,550,function,R/scale-continuous.r,179,181
ggplot2,lower_ascii,551,character,NA,NA,NA
ggplot2,StatBin,552,StatBin / Stat / ggproto / gg,NA,NA,NA
ggplot2,add_margins,553,function,R/margins.R,106,155
ggplot2,stat_bin_2d,554,function,R/stat-bin2d.r,15,40
ggplot2,as_quoted,555,function,R/facet-.r,325,339
ggplot2,.base_to_ggplot,556,character,NA,NA,NA
ggplot2,print.ggplot,557,function,R/plot.r,156,180
ggplot2,stat_unique,558,function,R/stat-unique.r,12,31
ggplot2,stat_summary,559,function,R/stat-summary.r,104,133
ggplot2,scale_fill_datetime,560,function,R/zxx.r,64,78
ggplot2,is_dotted_var,561,function,R/aes-calculated.r,31,33
ggplot2,plot_dev,562,function,R/save.r,129,168
ggplot2,max_width,563,function,R/facet-.r,475,479
ggplot2,ScaleContinuousDate,564,ScaleContinuousDate / ScaleContinuous / Scale / ggproto / gg,NA,NA,NA
ggplot2,scale_size_area,565,function,R/scale-size.r,88,92
ggplot2,adjust_breaks,566,function,R/stat-bin2d.r,138,146
ggplot2,stat_smooth,567,function,R/stat-smooth.r,37,72
ggplot2,unrowname,568,function,R/compat-plyr.R,16,25
ggplot2,scale_color_distiller,569,function,R/scale-brewer.r,80,90
ggplot2,dist_polar,570,function,R/coord-munch.r,108,161
ggplot2,guide_axis,571,function,R/guides-axis.r,7,148
ggplot2,ggplot.default,572,function,R/plot.r,80,103
ggplot2,guides_gengrob,573,function,R/guides-.r,224,235
ggplot2,geom_contour,574,function,R/geom-contour.r,43,68
ggplot2,guides_build,575,function,R/guides-.r,238,298
ggplot2,PositionDodge,576,PositionDodge / Position / ggproto / gg,NA,NA,NA
ggplot2,fortify.Lines,577,function,R/fortify-spatial.r,87,100
ggplot2,f_as_facets,578,function,R/facet-.r,383,397
ggplot2,stat_bin2d,579,function,R/stat-bin2d.r,15,40
ggplot2,scale_shape_ordinal,580,function,R/scale-shape.r,49,52
ggplot2,aes_to_scale,581,function,R/aes.r,175,180
ggplot2,flip_labels,582,function,R/coord-flip.r,81,90
ggplot2,StatSummaryHex,583,StatSummaryHex / Stat / ggproto / gg,NA,NA,NA
ggplot2,element_grob.element_rect,584,function,R/theme-elements.r,180,190
ggplot2,geom_curve,585,function,R/geom-curve.r,4,35
ggplot2,geom_area,586,function,R/geom-ribbon.r,124,140
ggplot2,scale_alpha,587,function,R/scale-alpha.r,21,23
ggplot2,summarise_layers,588,function,R/summarise-plot.R,121,137
ggplot2,stat_summary_2d,589,function,R/stat-summary-2d.r,39,68
ggplot2,StatFunction,590,StatFunction / Stat / ggproto / gg,NA,NA,NA
ggplot2,PositionStack,591,PositionStack / Position / ggproto / gg,NA,NA,NA
ggplot2,scale_color_viridis_c,592,function,R/scale-viridis.r,77,93
ggplot2,add_group,593,function,R/grouping.r,11,28
ggplot2,scale_color_viridis_d,594,function,R/scale-viridis.r,53,61
ggplot2,draw_key_vpath,595,function,R/legend-draw.r,150,160
ggplot2,scale_size_identity,596,function,R/scale-identity.r,109,114
ggplot2,drawDetails.zeroGrob,597,function,R/grob-null.r,24,24
ggplot2,.DollarNames.ggproto,598,function,R/ggproto.r,135,148
ggplot2,fortify.default,599,function,R/fortify.r,41,53
ggplot2,fortify.NULL,600,function,R/fortify.r,26,26
ggplot2,expand_default,601,function,R/coord-.r,153,155
ggplot2,geom_line,602,function,R/geom-path.r,238,254
ggplot2,annotate,603,function,R/annotation.r,37,71
ggplot2,GeomContour,604,GeomContour / GeomPath / Geom / ggproto / gg,NA,NA,NA
ggplot2,collide_setup,605,function,R/position-collide.r,3,31
ggplot2,bin_breaks_width,606,function,R/bin.R,51,95
ggplot2,scale_size_manual,607,function,R/scale-manual.r,75,77
ggplot2,compute_density,608,function,R/stat-density.r,83,114
ggplot2,ScaleDiscreteIdentity,609,ScaleDiscreteIdentity / ScaleDiscrete / Scale / ggproto / gg,NA,NA,NA
ggplot2,is_sf,610,function,R/layer-sf.R,56,58
ggplot2,margin_width,611,function,R/margins.R,21,25
ggplot2,GeomQuantile,612,GeomQuantile / GeomPath / Geom / ggproto / gg,NA,NA,NA
ggplot2,tapply_df,613,function,R/stat-summary-2d.r,119,133
ggplot2,theme_dark,614,function,R/theme-defaults.r,353,390
ggplot2,element_grob.element_blank,615,function,R/theme-elements.r,177,177
ggplot2,GeomErrorbarh,616,GeomErrorbarh / Geom / ggproto / gg,NA,NA,NA
ggplot2,is.constant,617,function,R/quick-plot.r,167,170
ggplot2,geom_count,618,function,R/geom-count.r,44,63
ggplot2,.store,619,list,NA,NA,NA
ggplot2,geom_column,620,function,R/layer-sf.R,43,53
ggplot2,scale_linetype_continuous,621,function,R/scale-linetype.r,38,40
ggplot2,fetch_ggproto,622,function,R/ggproto.r,106,131
ggplot2,stat_sum,623,function,R/stat-sum.r,10,29
ggplot2,Range,624,Range / ggproto / gg,NA,NA,NA
ggplot2,%||%,625,function,R/utilities.r,10,12
ggplot2,simplify,626,function,R/facet-.r,341,357
ggplot2,geom_blank,627,function,R/geom-blank.r,13,29
ggplot2,titleGrob,628,function,R/margins.R,176,204
ggplot2,convertInd,629,function,R/facet-wrap.r,472,474
ggplot2,max_height,630,function,R/facet-.r,468,472
ggplot2,GeomText,631,GeomText / Geom / ggproto / gg,NA,NA,NA
ggplot2,scale_colour_discrete,632,function,R/scale-hue.r,53,57
ggplot2,scale_y_datetime,633,function,R/scale-date.r,165,197
ggplot2,scale_color_grey,634,function,R/scale-grey.r,28,31
ggplot2,make_summary_fun,635,function,R/stat-summary-bin.R,67,101
ggplot2,contour_lines,636,function,R/stat-contour.r,69,103
ggplot2,backport_unit_methods,637,function,R/backports.R,15,15
ggplot2,theme_test,638,function,R/theme-defaults.r,512,636
ggplot2,scale_y_log10,639,function,R/scale-continuous.r,159,161
ggplot2,create_layout,640,function,R/layout.R,9,11
ggplot2,position_jitter,641,function,R/position-jitter.r,48,58
ggplot2,guide_merge.legend,642,function,R/guide-legend.r,232,240
ggplot2,modify_list,643,function,R/performance.R,47,50
ggplot2,annotation_custom,644,function,R/annotation-custom.r,44,59
ggplot2,scale_y_discrete,645,function,R/scale-discrete-.r,62,68
ggplot2,is_complete,646,function,R/utilities.r,136,142
ggplot2,Layout,647,Layout / ggproto / gg,NA,NA,NA
ggplot2,GeomPointrange,648,GeomPointrange / Geom / ggproto / gg,NA,NA,NA
ggplot2,stat_bin,649,function,R/stat-bin.r,43,77
ggplot2,len0_null,650,function,R/theme-elements.r,159,162
ggplot2,guide_geom.legend,651,function,R/guide-legend.r,243,298
ggplot2,StatContour,652,StatContour / Stat / ggproto / gg,NA,NA,NA
ggplot2,is.Coord,653,function,R/coord-.r,151,151
ggplot2,theme_grey,654,function,R/theme-defaults.r,98,235
ggplot2,dist_euclidean,655,function,R/coord-munch.r,79,83
ggplot2,find_origin,656,function,R/utilities-break.r,88,91
ggplot2,set_sec_axis,657,function,R/axis-secondary.R,105,112
ggplot2,ggplot_gtable.ggplot_built,658,function,R/plot-build.r,162,364
ggplot2,rd_aesthetics_item,659,function,R/utilities-help.r,22,30
ggplot2,position_dodge,660,function,R/position-dodge.r,76,81
ggplot2,CoordSf,661,CoordSf / CoordCartesian / Coord / ggproto / gg,NA,NA,NA
